YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,ARRIVAL_DELAY,DISTANCE
2015,1,3,6,AA,1132,N4XJAA,DFW,PHX,950,1002,12,17,1019,160,145,122,1121,6,1130,1127,0,0,,NA,NA,NA,NA,NA,-3,868
2015,1,3,6,OO,7387,N299SW,SLC,EKO,1655,1652,-3,14,1706,64,61,43,1649,4,1659,1653,0,0,,NA,NA,NA,NA,NA,-6,200
2015,1,3,6,UA,351,N477UA,RDU,SFO,1801,1813,12,15,1828,361,331,313,2041,3,2102,2044,0,0,,NA,NA,NA,NA,NA,-18,2400
2015,1,4,7,B6,668,N571JB,PSE,MCO,255,245,-10,35,320,185,202,161,501,6,500,507,0,0,,NA,NA,NA,NA,NA,7,1179
2015,1,4,7,OO,5572,N946SW,MOT,DEN,610,617,7,27,644,133,119,83,707,9,723,716,0,0,,NA,NA,NA,NA,NA,-7,604
2015,1,4,7,OO,2585,N866AS,EUG,LAX,705,657,-8,10,707,140,122,100,847,12,925,859,0,0,,NA,NA,NA,NA,NA,-26,748
2015,1,4,7,AS,25,N524AS,BOS,SEA,735,739,4,28,807,400,396,362,1109,6,1115,1115,0,0,,NA,NA,NA,NA,NA,0,2496
2015,1,4,7,WN,1298,N289CT,OAK,ABQ,800,758,-2,8,806,130,126,114,1100,4,1110,1104,0,0,,NA,NA,NA,NA,NA,-6,889
2015,1,4,7,OO,6487,N580SW,SBA,SFO,800,829,29,5,834,90,73,65,939,3,930,942,0,0,,NA,NA,NA,NA,NA,12,262
2015,1,4,7,MQ,2834,N650MQ,DFW,JAN,950,959,9,20,1019,78,87,57,1116,10,1108,1126,0,0,,9,0,9,0,0,18,408
2015,1,4,7,US,2019,N110UW,DCA,FLL,1050,1050,0,40,1130,160,177,135,1345,2,1330,1347,0,0,,17,0,0,0,0,17,899
2015,1,4,7,EV,3273,N13161,JAX,ORD,1102,1349,167,12,1401,158,187,126,1507,49,1240,1556,0,0,,29,0,24,143,0,196,864
2015,1,4,7,WN,1898,N962WN,BDL,ATL,1225,1259,34,13,1312,165,174,155,1547,6,1510,1553,0,0,,9,0,18,16,0,43,859
2015,1,4,7,WN,4839,N404WN,PHX,LAS,1320,1338,18,10,1348,65,58,45,1333,3,1325,1336,0,0,,NA,NA,NA,NA,NA,11,255
2015,1,4,7,OO,6442,N758SK,LAX,MTJ,1329,1327,-2,18,1345,117,117,93,1618,6,1626,1624,0,0,,NA,NA,NA,NA,NA,-2,666
2015,1,4,7,EV,4687,N16987,EWR,CVG,1332,1328,-4,13,1341,132,142,117,1538,12,1544,1550,0,0,,NA,NA,NA,NA,NA,6,569
2015,1,4,7,EV,4167,N21154,SAV,IAD,1423,1433,10,13,1446,101,107,84,1610,10,1604,1620,0,0,,6,0,5,5,0,16,515
2015,1,4,7,MQ,3244,N648MQ,ORD,GRB,1655,NA,NA,NA,NA,53,NA,NA,NA,NA,1748,NA,0,1,B,NA,NA,NA,NA,NA,NA,173
2015,1,4,7,VX,882,N852VA,LAX,DAL,1700,1703,3,13,1716,180,193,160,2156,20,2200,2216,0,0,,0,0,16,0,0,16,1246
2015,1,4,7,AA,132,N3EAAA,PHL,DFW,1825,1930,65,23,1953,240,273,224,2237,26,2125,2303,0,0,,33,0,0,65,0,98,1303
2015,1,4,7,WN,1118,N478WN,LAX,PHX,1915,1917,2,8,1925,75,78,60,2125,10,2130,2135,0,0,,NA,NA,NA,NA,NA,5,370
2015,1,4,7,WN,1348,N611SW,DEN,IND,1930,2047,77,10,2057,140,129,113,50,6,2350,56,0,0,,0,0,25,41,0,66,977
2015,1,4,7,WN,3222,N724SW,BNA,ECP,1930,2003,33,10,2013,75,79,64,2117,5,2045,2122,0,0,,4,0,23,10,0,37,401
2015,1,4,7,WN,4549,N492WN,IND,DEN,2020,2147,87,30,2217,175,200,160,2257,10,2115,2307,0,0,,25,0,0,87,0,112,977
2015,1,5,1,WN,828,N8610A,PHX,BWI,610,610,0,11,621,250,256,237,1218,8,1220,1226,0,0,,NA,NA,NA,NA,NA,6,1999
2015,1,5,1,WN,111,N931WN,MDW,ATL,610,612,2,14,626,120,109,88,854,7,910,901,0,0,,NA,NA,NA,NA,NA,-9,591
2015,1,5,1,DL,1156,N803DN,PDX,ATL,625,623,-2,13,636,279,251,233,1329,5,1404,1334,0,0,,NA,NA,NA,NA,NA,-30,2172
2015,1,5,1,AA,2429,N4YBAA,CLE,DFW,650,650,0,25,715,195,200,160,855,15,905,910,0,0,,NA,NA,NA,NA,NA,5,1021
2015,1,5,1,EV,5439,N528CA,SHV,ATL,700,658,-2,14,712,100,96,74,926,8,940,934,0,0,,NA,NA,NA,NA,NA,-6,551
2015,1,5,1,EV,4376,N13538,IAH,CLT,715,710,-5,11,721,143,128,106,1007,11,1038,1018,0,0,,NA,NA,NA,NA,NA,-20,912
2015,1,5,1,OO,6539,N979SW,COS,ORD,745,737,-8,19,756,155,162,132,1108,11,1120,1119,0,0,,NA,NA,NA,NA,NA,-1,911
2015,1,5,1,OO,6200,N119SY,ORD,SAT,1150,1219,29,18,1237,191,170,148,1505,4,1501,1509,0,0,,NA,NA,NA,NA,NA,8,1041
2015,1,5,1,US,2079,N826AW,PBI,PHL,1155,1146,-9,16,1202,151,161,127,1409,18,1426,1427,0,0,,NA,NA,NA,NA,NA,1,951
2015,1,5,1,EV,4310,N13970,DCA,CLE,1430,1423,-7,15,1438,85,86,65,1543,6,1555,1549,0,0,,NA,NA,NA,NA,NA,-6,310
2015,1,5,1,WN,2871,N619SW,DEN,SLC,1540,1637,57,14,1651,85,80,63,1754,3,1705,1757,0,0,,0,0,35,17,0,52,391
2015,1,5,1,OO,4687,N461SW,IDA,SLC,1730,1720,-10,9,1729,63,45,31,1800,5,1833,1805,0,0,,NA,NA,NA,NA,NA,-28,188
2015,1,5,1,US,1704,N542UW,RSW,CLT,1910,1905,-5,10,1915,112,103,86,2041,7,2102,2048,0,0,,NA,NA,NA,NA,NA,-14,600
2015,1,5,1,WN,2237,N239WN,SMF,SNA,1910,1920,10,11,1931,85,78,63,2034,4,2035,2038,0,0,,NA,NA,NA,NA,NA,3,404
2015,1,5,1,DL,1198,N962DL,RIC,ATL,1912,1910,-2,14,1924,113,112,78,2042,20,2105,2102,0,0,,NA,NA,NA,NA,NA,-3,481
2015,1,5,1,AA,2288,N476AA,DFW,PIT,2015,2029,14,10,2039,150,143,129,2348,4,2345,2352,0,0,,NA,NA,NA,NA,NA,7,1067
2015,1,5,1,WN,214,N8625A,DEN,PHX,2045,2045,0,13,2058,115,99,82,2220,4,2240,2224,0,0,,NA,NA,NA,NA,NA,-16,602
2015,1,6,2,WN,3298,N373SW,BWI,ATL,630,622,-8,43,705,125,153,104,849,6,835,855,0,0,,20,0,0,0,0,20,577
2015,1,6,2,EV,5783,N12530,IAH,LFT,740,731,-9,19,750,58,56,31,821,6,838,827,0,0,,NA,NA,NA,NA,NA,-11,201
2015,1,6,2,WN,454,N436WN,SNA,LAS,745,744,-1,6,750,65,54,44,834,4,850,838,0,0,,NA,NA,NA,NA,NA,-12,226
2015,1,6,2,US,1984,N819AW,CLT,EWR,750,752,2,22,814,110,100,72,926,6,940,932,0,0,,NA,NA,NA,NA,NA,-8,529
2015,1,6,2,WN,861,N500WR,BNA,FLL,820,916,56,10,926,135,116,103,1209,3,1135,1212,0,0,,0,0,34,3,0,37,793
2015,1,6,2,OO,5261,N755SK,COS,IAH,850,855,5,21,916,140,129,104,1200,4,1210,1204,0,0,,NA,NA,NA,NA,NA,-6,809
2015,1,6,2,WN,1837,N729SW,MDW,DAL,935,1015,40,19,1034,150,136,113,1227,4,1205,1231,0,0,,0,0,26,0,0,26,793
2015,1,6,2,UA,500,N411UA,SFO,IAD,1040,1037,-3,13,1050,308,283,264,1814,6,1848,1820,0,0,,NA,NA,NA,NA,NA,-28,2419
2015,1,6,2,WN,344,N384SW,SEA,SAN,1105,1110,5,12,1122,160,154,140,1342,2,1345,1344,0,0,,NA,NA,NA,NA,NA,-1,1050
2015,1,6,2,AA,369,N639AA,DFW,SAN,1130,1125,-5,12,1137,186,163,148,1205,3,1236,1208,0,0,,NA,NA,NA,NA,NA,-28,1171
2015,1,6,2,EV,5190,N856AS,CSG,ATL,1133,1158,25,8,1206,43,49,30,1236,11,1216,1247,0,0,,6,0,0,25,0,31,83
2015,1,6,2,WN,562,N271LV,DAL,MDW,1305,1320,15,9,1329,130,131,115,1524,7,1515,1531,0,0,,1,0,6,9,0,16,793
2015,1,6,2,DL,1228,N970AT,JAN,ATL,1311,1325,14,12,1337,84,74,50,1527,12,1535,1539,0,0,,NA,NA,NA,NA,NA,4,341
2015,1,6,2,US,1926,N556UW,LAX,PHL,1410,1403,-7,18,1421,294,288,266,2147,4,2204,2151,0,0,,NA,NA,NA,NA,NA,-13,2402
2015,1,6,2,WN,745,N7704B,MCI,DAL,1905,1939,34,8,1947,95,79,68,2055,3,2040,2058,0,0,,0,0,1,17,0,18,460
2015,1,6,2,WN,1447,N632SW,SLC,LAS,2005,2013,8,11,2024,80,70,56,2020,3,2025,2023,0,0,,NA,NA,NA,NA,NA,-2,368
2015,1,6,2,OO,4748,N659BR,SLC,LWS,2050,2047,-3,20,2107,98,102,77,2124,5,2128,2129,0,0,,NA,NA,NA,NA,NA,1,461
2015,1,6,2,US,2197,N953UW,LGA,DCA,2100,2105,5,10,2115,79,60,47,2202,3,2219,2205,0,0,,NA,NA,NA,NA,NA,-14,214
2015,1,6,2,DL,1290,N923DN,ATL,DTW,2150,2150,0,37,2227,114,137,90,2357,10,2344,7,0,0,,23,0,0,0,0,23,594
2015,1,7,3,WN,2597,N659SW,LAX,PHX,605,610,5,16,626,80,79,59,825,4,825,829,0,0,,NA,NA,NA,NA,NA,4,370
2015,1,7,3,WN,1367,N8323C,SNA,PHX,645,642,-3,23,705,90,84,55,900,6,915,906,0,0,,NA,NA,NA,NA,NA,-9,338
2015,1,7,3,WN,661,N214WN,MDW,STL,700,655,-5,11,706,70,69,53,759,5,810,804,0,0,,NA,NA,NA,NA,NA,-6,251
2015,1,7,3,EV,2563,N903EV,DFW,CRP,730,726,-4,23,749,76,85,59,848,3,846,851,0,0,,NA,NA,NA,NA,NA,5,354
2015,1,7,3,AA,2470,N436AA,DFW,BOS,800,757,-3,32,829,201,216,179,1228,5,1221,1233,0,0,,NA,NA,NA,NA,NA,12,1562
2015,1,7,3,WN,499,N670SW,STL,CMH,840,835,-5,7,842,80,69,56,1038,6,1100,1044,0,0,,NA,NA,NA,NA,NA,-16,409
2015,1,7,3,VX,351,N842VA,BOS,SFO,900,857,-3,21,918,405,379,353,1211,5,1245,1216,0,0,,NA,NA,NA,NA,NA,-29,2704
2015,1,7,3,WN,302,N8315C,MCO,MCI,940,940,0,12,952,185,181,163,1135,6,1145,1141,0,0,,NA,NA,NA,NA,NA,-4,1072
2015,1,7,3,UA,1725,N75432,ORD,LAS,958,1035,37,17,1052,245,227,200,1212,10,1203,1222,0,0,,0,0,19,0,0,19,1514
2015,1,7,3,UA,230,N488UA,SFO,IAH,1053,1112,19,27,1139,228,236,201,1700,8,1641,1708,0,0,,8,0,19,0,0,27,1635
2015,1,7,3,AS,65,N792AS,WRG,PSG,1100,1047,-13,7,1054,26,19,8,1102,4,1126,1106,0,0,,NA,NA,NA,NA,NA,-20,31
2015,1,7,3,AA,294,N491AA,DFW,ORF,1240,1239,-1,11,1250,160,144,129,1559,4,1620,1603,0,0,,NA,NA,NA,NA,NA,-17,1212
2015,1,7,3,OO,5295,N919SW,CMX,ORD,1309,1424,75,84,1548,95,148,53,1541,11,1344,1552,0,0,,53,0,1,74,0,128,359
2015,1,7,3,DL,2015,N345NW,CLT,ATL,1430,1428,-2,25,1453,82,78,46,1539,7,1552,1546,0,0,,NA,NA,NA,NA,NA,-6,226
2015,1,7,3,OO,7374,N457SW,MSP,BRD,1430,1427,-3,12,1439,61,48,30,1509,6,1531,1515,0,0,,NA,NA,NA,NA,NA,-16,114
2015,1,7,3,AA,2375,N456AA,DFW,TPA,1455,1449,-6,12,1501,136,129,113,1754,4,1811,1758,0,0,,NA,NA,NA,NA,NA,-13,929
2015,1,7,3,US,1871,N631AW,IAH,CLT,1540,1532,-8,17,1549,140,141,113,1842,11,1900,1853,0,0,,NA,NA,NA,NA,NA,-7,912
2015,1,7,3,UA,1644,N73251,BOS,IAH,1650,1830,100,12,1842,275,235,217,2119,6,2025,2125,0,0,,0,0,0,57,3,60,1597
2015,1,7,3,US,2035,N722US,CLT,JAX,2225,2225,0,12,2237,79,68,53,2330,3,2344,2333,0,0,,NA,NA,NA,NA,NA,-11,328
2015,1,8,4,AA,196,N3FMAA,MIA,PHL,600,555,-5,8,603,162,155,142,825,5,842,830,0,0,,NA,NA,NA,NA,NA,-12,1013
2015,1,8,4,EV,5336,N843AS,FSM,ATL,700,654,-6,21,715,100,105,75,930,9,940,939,0,0,,NA,NA,NA,NA,NA,-1,579
2015,1,8,4,DL,1692,N801DZ,ATL,SAN,815,815,0,20,835,297,259,235,930,4,1012,934,0,0,,NA,NA,NA,NA,NA,-38,1892
2015,1,8,4,AA,74,N485AA,DFW,HOU,920,922,2,10,932,66,56,43,1015,3,1026,1018,0,0,,NA,NA,NA,NA,NA,-8,247
2015,1,8,4,AA,1693,N3LRAA,ORD,MCO,1050,1057,7,12,1109,156,137,120,1409,5,1426,1414,0,0,,NA,NA,NA,NA,NA,-12,1005
2015,1,8,4,EV,4127,N12567,IAH,STL,1304,1254,-10,19,1313,119,125,100,1453,6,1503,1459,0,0,,NA,NA,NA,NA,NA,-4,667
2015,1,8,4,OO,5325,N693BR,ORD,DLH,1315,NA,NA,NA,NA,95,NA,NA,NA,NA,1450,NA,0,1,B,NA,NA,NA,NA,NA,NA,397
2015,1,8,4,EV,6064,N14991,ORD,ATW,1436,NA,NA,NA,NA,59,NA,NA,NA,NA,1535,NA,0,1,B,NA,NA,NA,NA,NA,NA,160
2015,1,8,4,B6,833,N834JB,BOS,SFO,2000,1954,-6,15,2009,406,394,373,2322,6,2346,2328,0,0,,NA,NA,NA,NA,NA,-18,2704
2015,1,9,5,DL,1702,N956DN,TPA,ATL,620,613,-7,17,630,90,94,65,735,12,750,747,0,0,,NA,NA,NA,NA,NA,-3,406
2015,1,9,5,WN,31,N940WN,MKE,BWI,720,719,-1,18,737,120,103,81,958,4,1020,1002,0,0,,NA,NA,NA,NA,NA,-18,641
2015,1,9,5,WN,514,N8608N,TPA,DEN,900,859,-1,8,907,250,231,216,1043,7,1110,1050,0,0,,NA,NA,NA,NA,NA,-20,1506
2015,1,9,5,WN,231,N244WN,BNA,CHS,910,916,6,7,923,80,69,57,1120,5,1130,1125,0,0,,NA,NA,NA,NA,NA,-5,439
2015,1,9,5,DL,2244,N345NB,DTW,DCA,1225,1225,0,40,1305,98,103,61,1406,2,1403,1408,0,0,,NA,NA,NA,NA,NA,5,405
2015,1,9,5,WN,661,N209WN,HOU,LGA,1245,1413,88,18,1431,190,195,166,1817,11,1655,1828,0,0,,67,0,0,26,0,93,1428
2015,1,9,5,AA,1618,N3LAAA,DFW,SNA,1350,1431,41,8,1439,196,162,150,1509,4,1506,1513,0,0,,NA,NA,NA,NA,NA,7,1205
2015,1,9,5,WN,337,N8305E,AUS,PHX,1450,1456,6,9,1505,160,145,119,1604,17,1630,1621,0,0,,NA,NA,NA,NA,NA,-9,872
2015,1,9,5,US,1747,N104UW,MSY,CLT,1615,1614,-1,11,1625,106,104,83,1848,10,1901,1858,0,0,,NA,NA,NA,NA,NA,-3,651
2015,1,9,5,UA,506,N419UA,AUS,DEN,1643,1644,1,10,1654,142,128,108,1742,10,1805,1752,0,0,,NA,NA,NA,NA,NA,-13,775
2015,1,9,5,US,2124,N752US,DCA,BOS,1730,1816,46,15,1831,91,78,55,1926,8,1901,1934,0,0,,0,0,0,33,0,33,399
2015,1,9,5,F9,783,N204FR,DEN,LAS,1755,1928,93,11,1939,112,105,87,2006,7,1847,2013,0,0,,39,0,2,45,0,86,628
2015,1,9,5,B6,1066,N190JB,RSW,BOS,1845,1950,65,8,1958,178,159,146,2224,5,2143,2229,0,0,,0,0,8,38,0,46,1249
2015,1,9,5,UA,1219,N65832,DEN,PHX,1909,1919,10,14,1933,112,105,86,2059,5,2101,2104,0,0,,NA,NA,NA,NA,NA,3,602
2015,1,9,5,WN,762,N270WN,LGA,MDW,2055,2103,8,26,2129,150,154,121,2230,7,2225,2237,0,0,,NA,NA,NA,NA,NA,12,725
2015,1,9,5,AA,2298,N3AYAA,MIA,LGA,2100,2109,9,23,2132,169,157,129,2341,5,2349,2346,0,0,,NA,NA,NA,NA,NA,-3,1096
2015,1,9,5,AA,348,N456AA,DFW,HOU,2150,2202,12,12,2214,63,62,47,2301,3,2253,2304,0,0,,NA,NA,NA,NA,NA,11,247
2015,1,10,6,B6,447,N658JB,OAK,LGB,600,553,-7,21,614,80,86,61,715,4,720,719,0,0,,NA,NA,NA,NA,NA,-1,353
2015,1,10,6,DL,1529,N348NB,GSP,ATL,830,828,-2,13,841,65,59,33,914,13,935,927,0,0,,NA,NA,NA,NA,NA,-8,153
2015,1,10,6,DL,444,N706TW,SLC,JFK,1120,1131,11,19,1150,266,250,224,1734,7,1746,1741,0,0,,NA,NA,NA,NA,NA,-5,1990
2015,1,10,6,DL,1740,N339NB,LAS,SLC,1400,1358,-2,12,1410,78,77,60,1610,5,1618,1615,0,0,,NA,NA,NA,NA,NA,-3,368
2015,1,10,6,EV,5942,N27200,DEN,MTJ,1510,1505,-5,11,1516,61,53,33,1549,9,1611,1558,0,0,,NA,NA,NA,NA,NA,-13,196
2015,1,10,6,WN,3660,N272WN,FLL,MDW,1515,1538,23,16,1554,205,218,172,1746,30,1740,1816,0,0,,13,0,0,23,0,36,1166
2015,1,10,6,DL,2084,N946DL,STL,ATL,1526,1523,-3,8,1531,95,80,63,1734,9,1801,1743,0,0,,NA,NA,NA,NA,NA,-18,484
2015,1,10,6,B6,691,N821JB,BOS,TPA,1651,1657,6,8,1705,215,198,184,2009,6,2026,2015,0,0,,NA,NA,NA,NA,NA,-11,1185
2015,1,10,6,AA,1084,N3JDAA,FLL,DFW,1756,1807,11,23,1830,204,189,157,2007,9,2020,2016,0,0,,NA,NA,NA,NA,NA,-4,1119
2015,1,10,6,AS,235,N409AS,SFO,PDX,2030,2029,-1,13,2042,99,96,78,2200,5,2209,2205,0,0,,NA,NA,NA,NA,NA,-4,550
2015,1,11,7,NK,231,N622NK,ATL,FLL,700,652,-8,11,703,108,102,85,828,6,848,834,0,0,,NA,NA,NA,NA,NA,-14,581
2015,1,11,7,AA,1403,N3KJAA,AUS,LAX,715,706,-9,15,721,206,208,172,813,21,841,834,0,0,,NA,NA,NA,NA,NA,-7,1242
2015,1,11,7,DL,1737,N349NB,BWI,DTW,930,929,-1,7,936,100,80,70,1046,3,1110,1049,0,0,,NA,NA,NA,NA,NA,-21,409
2015,1,11,7,MQ,3470,N658MQ,CMH,ORD,1456,1454,-2,12,1506,89,70,52,1458,6,1525,1504,0,0,,NA,NA,NA,NA,NA,-21,296
2015,1,11,7,EV,4379,N11548,VPS,IAH,1458,1458,0,14,1512,123,125,102,1654,9,1701,1703,0,0,,NA,NA,NA,NA,NA,2,528
2015,1,11,7,EV,4522,N12145,MSY,EWR,1603,1554,-9,37,1631,178,192,143,1954,12,2001,2006,0,0,,NA,NA,NA,NA,NA,5,1167
2015,1,11,7,MQ,3620,N500MQ,STL,LGA,1655,1655,0,11,1706,136,142,105,1951,26,2011,2017,0,0,,NA,NA,NA,NA,NA,6,888
2015,1,11,7,US,417,N742PS,STL,PHX,1745,1753,8,22,1815,209,210,184,2019,4,2014,2023,0,0,,NA,NA,NA,NA,NA,9,1262
2015,1,11,7,WN,2295,N467WN,DEN,BWI,1925,2011,46,20,2031,195,189,163,114,6,40,120,0,0,,40,0,0,0,0,40,1491
2015,1,11,7,OO,5647,N979SW,SFO,SBA,1945,1943,-2,13,1956,68,72,44,2040,15,2053,2055,0,0,,NA,NA,NA,NA,NA,2,262
2015,1,11,7,UA,1534,N38459,MIA,EWR,1947,2003,16,15,2018,184,175,151,2249,9,2251,2258,0,0,,NA,NA,NA,NA,NA,7,1085
2015,1,11,7,WN,1890,N234WN,BWI,DAY,2215,2303,48,9,2312,90,85,71,23,5,2345,28,0,0,,0,0,0,43,0,43,406
2015,1,11,7,AS,127,N533AS,SEA,FAI,2310,2312,2,13,2325,231,226,208,153,5,201,158,0,0,,NA,NA,NA,NA,NA,-3,1533
2015,1,12,1,DL,1326,N908DL,OMA,ATL,700,659,-1,25,724,145,150,115,1019,10,1025,1029,0,0,,NA,NA,NA,NA,NA,4,821
2015,1,12,1,AA,1246,N520AA,PSP,DFW,722,715,-7,15,730,168,179,147,1157,17,1210,1214,0,0,,NA,NA,NA,NA,NA,4,1126
2015,1,12,1,UA,273,N440UA,LAX,SFO,900,904,4,16,920,90,93,72,1032,5,1030,1037,0,0,,NA,NA,NA,NA,NA,7,337
2015,1,12,1,WN,354,N467WN,TPA,PIT,945,939,-6,10,949,135,127,110,1139,7,1200,1146,0,0,,NA,NA,NA,NA,NA,-14,873
2015,1,12,1,DL,1865,N809DN,ATL,MIA,955,958,3,30,1028,121,128,94,1202,4,1156,1206,0,0,,NA,NA,NA,NA,NA,10,594
2015,1,12,1,US,2175,N953UW,LGA,DCA,1000,952,-8,15,1007,83,71,51,1058,5,1123,1103,0,0,,NA,NA,NA,NA,NA,-20,214
2015,1,12,1,MQ,3154,N632MQ,VPS,DFW,1015,1009,-6,11,1020,139,127,107,1207,9,1234,1216,0,0,,NA,NA,NA,NA,NA,-18,641
